"TQId","CPUTime","OwnerGroup","Priority","Enabled","n_jobs"
"64951837","1080000","lhcb_data","1843.32","1","12"
"64951978","1080000","lhcb_data","16129.0","1","12"
"63570476","1080000","lhcb_data","73732.7","1","11"
"64402679","1080000","lhcb_data","73732.7","1","11"
"64402714","1080000","lhcb_data","73732.7","1","11"
"64402684","1080000","lhcb_data","73732.7","1","10"
"64402697","1080000","lhcb_data","73732.7","1","10"
"64402713","1080000","lhcb_data","73732.7","1","10"
"64402881","1080000","lhcb_data","73732.7","1","10"
"64951165","1080000","lhcb_data","1382.49","1","10"
"63133124","1080000","lhcb_data","73732.7","1","8"
"64402894","1080000","lhcb_data","73732.7","1","8"
"64402882","1080000","lhcb_data","73732.7","1","7"
"64952026","86400","lhcb_user","5000.0","1","7"
"64952027","1080000","lhcb_data","1.0","1","7"
"64403012","1080000","lhcb_data","73732.7","1","6"
"62938880","1080000","lhcb_data","73732.7","1","5"
"64402869","1080000","lhcb_data","73732.7","1","5"
"64402993","1080000","lhcb_data","73732.7","1","5"
"64653341","172800","lhcb_mcproc","18181.8","1","5"
"64951851","1080000","lhcb_user","5000.0","1","5"
"64951945","172800","lhcb_mcproc","27272.7","1","5"
"63569240","1080000","lhcb_data","73732.7","1","4"
"63602090","1080000","lhcb_data","73732.7","1","3"
"64402648","1080000","lhcb_data","73732.7","1","3"
"64402876","1080000","lhcb_data","73732.7","1","3"
"64402880","1080000","lhcb_data","73732.7","1","3"
"64402904","1080000","lhcb_data","73732.7","1","3"
"64950270","1080000","lhcb_data","16129.0","1","3"
"64951824","1080000","lhcb_data","16129.0","1","3"
"64952001","1080000","lhcb_user","5000.0","1","3"
"63480972","1080000","lhcb_data","73732.7","1","2"
"64402680","1080000","lhcb_data","73732.7","1","2"
"64402701","1080000","lhcb_data","73732.7","1","2"
"64402717","1080000","lhcb_data","73732.7","1","2"
"64402903","1080000","lhcb_data","73732.7","1","2"
"64654301","172800","lhcb_mcproc","18181.8","1","2"
"64658176","172800","lhcb_mcproc","18181.8","1","2"
"64952016","1080000","lhcb_user","5000.0","1","2"
"64952018","1080000","lhcb_user","5000.0","1","2"
"64952020","1080000","lhcb_user","5000.0","1","2"
"63569169","1080000","lhcb_data","73732.7","1","1"
"64403039","1080000","lhcb_data","73732.7","1","1"
"64662526","172800","lhcb_mcproc","18181.8","1","1"
"64951986","1080000","lhcb_data","1382.49","1","1"
"64952007","1080000","lhcb_user","5000.0","1","1"
"64952017","1080000","lhcb_user","5000.0","1","1"
"64952021","1080000","lhcb_user","5000.0","1","1"
